Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,161,5468,Y->R->L->G->Z->X->O->H->C->F->A->N->I->Q->E->M->B->W->T->J->S->P->D->U->V->K,V2H
0,181,6066,H->G->Z->B->F->Y->X->O->E->Q->R->W->A->I->N->M->T->D->K->V->C->U->L->J->S->P,ZgZg
0,179,6528,Y->K->H->U->T->D->A->P->W->B->C->X->E->Q->R->F->M->N->V->I->Z->O->S->L->J->G,V2H
0,197,5978,G->H->M->V->C->O->W->A->D->I->X->U->S->E->K->F->L->R->B->Q->T->Y->N->Z->P->J,H2V
0,167,6900,B->D->N->X->C->R->M->I->V->H->A->U->L->O->S->G->E->F->K->Y->Q->P->W->T->Z->J,H2V
0,175,7000,A->F->G->B->R->V->M->L->U->Y->Q->E->T->H->W->I->S->X->K->N->D->J->C->P->Z->O,H2V
0,187,6166,Z->H->X->T->J->V->B->I->D->C->U->N->L->M->F->S->W->Q->A->Y->E->R->K->O->G->P,H2V
0,181,6432,Y->C->R->L->G->O->H->X->F->A->N->I->Q->E->M->B->W->T->J->S->P->Z->D->U->V->K,H2V
0,179,6688,Q->F->T->J->S->X->V->Y->C->A->G->B->R->H->W->L->K->N->I->Z->M->D->U->P->O->E,H2V
0,171,6936,A->B->R->V->M->L->U->Q->P->J->O->D->Y->F->H->I->E->X->G->T->W->S->K->N->C->Z,V2H
0,175,7364,V->D->X->J->Q->E->H->R->Y->B->C->Z->U->S->G->P->N->I->K->O->W->T->A->L->F->M,ZgZg
0,193,6196,T->D->Z->X->C->A->J->I->E->P->Y->W->Q->M->H->S->O->G->N->K->L->V->F->B->R->U,H2V
0,187,6286,H->D->P->G->L->R->A->N->E->O->F->Y->U->T->J->S->W->Q->K->B->M->Z->C->V->I->X,V2H
0,183,7086,V->L->G->H->Z->I->C->J->S->Q->F->Y->B->N->P->D->M->A->U->W->E->X->T->K->R->O,H2V
0,187,6774,H->I->M->U->W->E->T->C->P->F->V->Z->O->N->S->D->A->R->X->Q->Y->L->K->B->G->J,H2V
0,173,7274,D->M->V->L->K->P->Q->E->S->T->J->O->X->W->C->H->F->I->R->A->Y->N->G->Z->B->U,V2H
0,183,7246,Y->U->Z->G->R->I->L->F->B->V->D->K->M->X->E->Q->C->A->H->N->W->J->P->S->T->O,V2H
0,207,6356,P->O->M->J->S->C->K->V->A->X->B->T->E->I->Q->G->R->L->F->Y->H->W->Z->U->D->N,V2H
0,189,6612,B->D->O->N->X->C->R->M->I->L->V->G->H->A->U->E->F->K->Y->Q->P->W->T->Z->S->J,V2H
0,193,6362,J->P->Z->N->Y->T->Q->B->R->L->F->K->E->S->U->X->I->D->A->W->O->C->V->M->H->G,V2H
0,187,6888,D->C->Y->K->X->P->J->H->F->E->A->G->I->M->B->U->W->T->Q->S->Z->V->R->L->O->N,H2V
0,183,7298,L->J->I->K->B->R->N->Z->F->E->D->Q->T->V->A->U->G->S->W->H->Y->M->C->P->O->X,ZgZg
0,185,7882,M->Y->N->A->D->F->C->Z->R->K->H->V->B->E->T->X->G->S->U->Q->J->O->I->P->W->L,V2H
0,201,6800,T->Q->L->D->J->O->R->B->A->U->I->X->G->W->P->V->Z->C->S->M->E->N->K->H->F->Y,H2V
0,195,6952,L->V->M->F->E->P->K->T->W->X->N->R->O->J->H->Y->A->U->C->I->S->Q->B->Z->D->G,V2H
0,197,6896,Q->B->T->I->K->V->N->Y->E->H->S->G->O->M->R->D->U->P->L->C->Z->X->J->W->A->F,H2V
0,225,8520,Y->A->F->B->S->V->Q->D->T->E->L->C->W->G->M->K->R->P->J->N->U->H->O->Z->X->I,H2V
0,229,9284,M->T->Z->Y->G->L->P->U->A->Q->I->W->E->F->B->S->K->R->C->H->O->X->J->N->V->D,ZgZg
0,219,8098,S->W->U->X->Z->V->N->Y->D->F->P->J->M->B->I->E->K->L->Q->G->T->A->H->C->R->O,V2H
0,215,8344,N->P->J->Z->H->F->R->A->M->L->T->V->G->K->I->Y->B->U->C->O->W->Q->S->X->D->E,V2H
0,205,8368,O->Q->E->Y->R->K->U->F->J->Z->V->P->W->G->X->I->A->N->D->M->T->S->H->L->C->B,ZgZg
0,221,9296,A->V->K->C->B->O->Q->D->M->H->X->S->N->Z->Y->I->J->T->G->R->P->L->F->W->U->E,V2H
0,207,7710,W->L->E->J->H->Y->U->M->S->I->X->T->Q->O->G->C->D->B->R->F->P->V->Z->K->N->A,H2V
0,215,8344,N->P->J->Z->H->F->R->A->M->L->T->V->G->K->I->Y->B->U->C->O->W->Q->S->X->D->E,V2H
0,199,8156,L->F->D->M->W->E->Y->B->P->Z->J->X->O->G->A->T->V->C->I->Q->S->R->N->U->K->H,V2H
0,223,8464,T->L->K->G->Q->P->A->O->W->E->C->V->N->X->S->B->D->I->Y->R->F->H->Z->J->M->U,H2V
0,191,8304,U->G->R->L->B->E->Q->C->W->N->Z->Y->P->A->D->T->J->X->F->M->I->V->K->H->S->O,V2H
0,221,9578,C->D->F->K->Y->X->U->S->W->L->Z->T->P->M->H->V->Q->B->E->R->A->I->N->O->G->J,ZgZg
0,207,8040,L->Z->K->G->P->M->O->H->N->D->V->B->C->A->U->Q->J->T->E->S->W->X->F->Y->R->I,V2H
0,213,9538,B->Z->R->Y->P->X->J->E->C->I->K->D->V->L->M->T->Q->S->O->F->U->W->G->H->N->A,H2V
0,205,10514,Y->P->C->R->O->J->X->G->S->E->K->M->L->Z->H->B->D->W->A->U->Q->N->T->F->I->V,ZgZg
0,235,9336,A->G->I->P->Y->Q->E->K->U->D->L->J->B->M->Z->W->R->H->O->N->S->X->V->F->C->T,H2V
0,215,9622,N->D->C->J->F->M->Q->O->T->L->B->G->E->W->Y->K->U->X->V->P->S->A->I->H->R->Z,ZgZg
0,233,9294,M->O->H->U->V->Z->B->G->S->F->N->W->T->A->E->K->X->L->D->I->P->Q->Y->C->R->J,H2V
0,219,9328,H->U->F->J->Y->V->K->M->R->A->W->S->Z->N->T->B->X->C->O->E->D->I->P->Q->L->G,ZgZg
0,225,9366,R->G->S->D->B->X->I->V->C->E->U->Z->Y->K->W->T->F->Q->M->H->N->O->A->J->P->L,V2H
0,227,9310,J->T->X->Q->V->S->K->C->A->G->B->R->H->W->L->Y->N->I->Z->M->D->U->F->P->O->E,ZgZg
0,219,9328,H->U->F->J->Y->V->K->M->R->A->W->S->Z->N->T->B->X->C->O->E->D->I->P->Q->L->G,ZgZg
0,205,7628,Y->L->G->O->H->X->F->A->N->Q->E->M->B->W->T->J->S->C->I->R->P->V->Z->D->U->K,H2V
0,221,8472,Z->W->J->N->G->M->Y->D->X->I->L->K->R->U->O->A->T->S->V->P->C->H->E->B->F->Q,V2H
0,209,7474,M->V->E->Q->J->R->S->O->X->B->H->F->C->Y->G->I->D->Z->L->T->A->K->N->U->W->P,H2V
0,213,8952,H->D->G->R->A->N->E->O->F->Y->U->T->S->W->Q->K->B->M->Z->C->V->I->X->P->L->J,H2V
0,223,8660,F->S->Y->K->J->D->G->Z->R->T->H->I->U->B->M->L->X->N->C->V->A->P->E->O->W->Q,ZgZg
0,219,9632,V->D->X->Q->E->R->Z->U->S->G->I->K->O->T->A->L->W->Y->P->N->C->B->H->M->J->F,ZgZg
0,207,9844,B->R->I->O->G->M->W->Y->N->C->S->J->T->D->P->V->E->Q->L->F->U->A->H->Z->X->K,ZgZg
0,179,6528,Y->K->H->U->T->D->A->P->W->B->C->X->E->Q->R->F->M->N->V->I->Z->O->S->L->J->G,V2H
0,273,10778,J->C->H->D->O->X->I->S->M->F->G->Y->U->T->L->P->B->Q->Z->W->K->R->E->V->A->N,H2V
0,225,8520,Y->A->F->B->S->V->Q->D->T->E->L->C->W->G->M->K->R->P->J->N->U->H->O->Z->X->I,H2V
0,207,6366,L->U->H->R->J->N->M->E->Z->A->Y->X->C->D->W->T->I->P->G->S->O->K->V->B->F->Q,ZgZg
0,219,9918,Z->X->W->S->F->O->E->Q->K->I->M->B->P->T->N->U->R->A->J->G->V->Y->D->H->C->L,ZgZg
0,215,9622,N->D->C->J->F->M->Q->O->T->L->B->G->E->W->Y->K->U->X->V->P->S->A->I->H->R->Z,ZgZg
0,211,8070,F->K->J->Z->R->H->I->U->C->L->X->N->M->V->D->G->O->W->Q->B->E->S->T->P->Y->A,V2H
0,239,8834,U->Q->E->D->J->C->F->K->O->Y->S->W->H->V->G->P->X->M->A->B->I->L->T->R->N->Z,V2H
0,199,8024,H->K->U->N->R->S->Q->I->C->V->T->G->O->X->A->W->J->Z->P->B->Y->E->M->D->F->L,V2H
0,229,8928,X->D->F->N->L->K->G->O->Q->J->M->S->Y->U->R->Z->A->I->V->P->C->H->E->B->W->T,H2V
0,213,8750,P->W->L->E->J->H->Y->U->M->S->I->K->X->T->Q->O->G->D->Z->B->V->R->C->F->N->A,ZgZg
0,227,9178,J->E->B->Y->U->K->O->N->D->X->L->C->A->R->S->H->I->G->Q->Z->V->F->P->T->W->M,ZgZg
0,207,6366,L->U->H->R->J->N->M->E->Z->A->Y->X->C->D->W->T->I->P->G->S->O->K->V->B->F->Q,ZgZg
0,223,9880,R->C->E->T->P->K->Z->A->M->D->L->Y->W->F->B->S->I->U->J->H->G->N->Q->O->V->X,V2H
0,205,6834,X->M->F->K->O->J->E->W->H->C->S->Y->A->T->B->Z->P->I->R->L->N->D->V->Q->U->G,H2V
0,197,8086,L->M->K->U->W->E->T->C->P->F->V->Z->O->N->X->R->J->H->Y->A->I->S->Q->B->D->G,H2V
0,239,10614,G->L->J->U->R->N->M->I->C->W->B->F->A->E->V->Q->Y->S->Z->X->P->T->O->K->H->D,ZgZg
0,199,8212,Y->V->R->I->C->M->W->J->O->N->K->E->F->B->X->L->P->Z->H->G->U->D->A->S->Q->T,H2V
0,217,8874,Z->F->J->E->M->W->P->I->T->Q->H->S->R->A->C->L->X->D->N->O->K->U->Y->B->V->G,ZgZg
0,211,9582,A->B->V->N->P->H->Q->I->Z->M->U->G->D->S->E->Y->J->O->C->K->W->F->T->X->R->L,ZgZg
0,255,9884,J->F->O->I->G->X->T->D->R->Y->N->L->H->K->Q->C->U->M->E->V->W->B->Z->S->A->P,V2H
0,241,9290,J->B->T->Z->G->A->E->W->S->L->F->U->M->K->C->Y->D->O->H->Q->R->P->X->I->V->N,V2H
0,207,8284,I->B->V->Q->W->Y->T->E->N->G->S->J->A->P->F->X->K->U->C->H->L->M->Z->D->R->O,H2V
0,233,8672,Q->B->S->T->D->M->H->U->G->V->J->Y->R->P->F->K->Z->C->I->O->E->L->N->X->A->W,V2H
0,227,12336,Z->O->U->K->X->P->J->H->F->E->A->G->I->M->B->N->R->W->C->L->T->D->Q->V->Y->S,ZgZg
0,193,6362,J->P->Z->N->Y->T->Q->B->R->L->F->K->E->S->U->X->I->D->A->W->O->C->V->M->H->G,V2H
0,199,8438,H->G->Z->B->F->Y->X->O->S->Q->R->W->A->I->N->M->T->D->K->V->C->J->P->U->L->E,ZgZg
