Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,165,4732,D->A->E->J->S->I->W->G->P->Q->T->V->K->Z->F->R->N->X->O->L->Y->H->M->B->U->C,V2H
0,165,4732,D->A->E->J->S->I->W->G->P->Q->T->V->K->Z->F->R->N->X->O->L->Y->H->M->B->U->C,V2H
0,165,4732,D->A->E->J->S->I->W->G->P->Q->T->V->K->Z->F->R->N->X->O->L->Y->H->M->B->U->C,V2H
0,169,7320,L->X->V->R->U->D->F->Y->Q->Z->I->B->K->A->P->W->E->M->H->C->G->N->O->J->S->T,ZgZg
0,193,5810,M->U->V->P->S->H->A->L->C->R->O->Y->I->X->N->Z->T->F->K->B->D->Q->W->G->J->E,V2H
0,171,5738,C->A->Y->M->L->W->J->U->H->Q->T->V->K->Z->F->R->N->X->O->I->D->B->E->P->S->G,V2H
0,179,5336,O->X->Z->P->I->J->T->U->W->N->K->F->H->M->A->D->E->R->C->B->V->L->Y->Q->G->S,V2H
0,179,7572,T->S->Z->X->G->P->M->F->B->K->V->I->W->H->A->Y->L->C->E->R->U->Q->D->O->N->J,ZgZg
0,199,6096,X->D->J->G->E->I->H->B->P->O->K->Y->W->V->L->R->Z->T->Q->N->C->U->F->A->M->S,H2V
0,171,5794,I->V->L->P->S->E->K->F->H->A->D->N->O->Z->U->X->Q->T->J->G->R->Y->W->C->M->B,V2H
0,191,6170,O->X->Z->P->I->J->T->U->W->N->K->F->H->M->A->Q->D->E->R->C->B->V->L->Y->G->S,H2V
0,179,8264,A->Q->M->Y->U->G->R->K->B->V->N->X->S->E->C->F->W->P->D->Z->I->T->L->H->J->O,V2H
0,187,5620,O->X->P->I->J->T->U->W->K->F->H->M->A->D->B->E->Q->S->Z->N->R->C->V->L->Y->G,V2H
0,189,6566,U->D->N->M->C->T->F->Y->K->S->G->L->R->V->E->I->A->W->Q->B->H->Z->X->O->J->P,H2V
0,197,6182,O->T->J->M->Y->B->I->Q->A->L->F->H->D->S->N->P->Z->V->W->E->G->X->R->C->U->K,H2V
0,179,8758,Y->E->J->G->A->X->T->W->H->B->K->N->Z->O->D->U->R->I->S->Q->M->P->C->L->F->V,ZgZg
0,177,6426,I->V->L->Z->P->X->S->J->E->K->F->A->D->N->O->T->Q->R->G->Y->W->H->M->B->U->C,V2H
0,173,7284,D->F->Y->H->M->V->R->B->L->I->T->N->U->C->Z->O->E->P->K->Q->J->A->S->W->G->X,V2H
0,185,7732,J->B->R->I->X->V->L->M->F->H->N->S->K->U->C->A->Z->O->E->D->W->Y->Q->P->T->G,ZgZg
