Generation,WalkingTime,ExposureTime,IsleOrder,WalkingPattern
0,165,6666,D->P->A->Q->J->O->N->U->W->F->Y->K->M->V->R->I->H->B->L->E->X->T->Z->C->G->S,H2V
0,169,5154,B->L->Y->V->N->I->F->W->Q->K->H->P->D->Z->U->A->M->S->J->X->R->C->T->E->O->G,H2V
0,167,8006,A->C->P->Z->U->I->F->L->R->O->K->B->V->M->Y->W->Q->H->S->J->X->N->G->D->E->T,ZgZg
0,171,6834,E->J->T->P->U->R->N->O->I->Z->H->M->C->Q->Y->K->L->X->A->W->D->V->F->B->S->G,ZgZg
0,175,5388,B->L->Y->V->N->I->F->W->Q->K->H->S->J->P->D->Z->U->A->M->X->R->C->T->E->O->G,H2V
0,173,7202,R->D->N->U->I->V->Y->C->W->E->T->Q->L->X->O->A->P->H->M->J->Z->K->B->F->S->G,H2V
0,243,8420,V->G->F->X->K->I->P->C->S->U->A->N->Y->M->O->B->H->Q->J->E->W->D->R->T->Z->L,V2H
0,209,8110,T->J->V->E->P->B->Q->S->X->O->Y->F->R->U->L->A->M->G->H->D->K->N->C->I->Z->W,ZgZg
0,213,7898,O->L->S->Q->D->M->Y->F->I->J->U->N->T->G->Z->H->B->W->P->E->X->C->A->K->V->R,H2V
0,249,10936,J->M->D->G->N->L->Y->O->K->B->Z->S->I->H->T->C->E->Q->W->R->P->F->U->A->X->V,ZgZg
0,221,7732,W->N->Q->E->K->A->T->I->P->L->R->C->D->B->S->X->M->U->Z->G->J->O->F->V->H->Y,H2V
0,211,8588,C->Y->M->W->G->E->J->S->D->Z->O->F->A->Q->V->N->H->I->B->T->K->X->L->U->R->P,V2H
0,227,8444,W->V->T->J->Q->M->A->U->G->X->Z->L->R->B->E->N->I->P->F->D->C->S->Y->O->K->H,H2V
0,223,8562,U->X->R->A->F->T->Q->D->I->C->O->E->K->W->N->Z->G->H->B->V->S->P->J->L->Y->M,H2V
0,241,11394,R->B->I->U->Q->V->K->H->A->L->W->O->D->E->N->P->M->X->Z->S->F->T->Y->J->C->G,ZgZg
0,223,9312,L->C->D->S->W->X->Z->P->O->F->T->G->M->E->R->K->Y->J->N->I->A->H->V->U->B->Q,H2V
0,203,8600,E->C->T->S->X->D->U->G->I->N->W->O->L->R->H->B->Y->K->V->A->Q->F->P->M->J->Z,ZgZg
0,191,8512,K->N->G->E->O->U->A->M->B->R->C->F->W->X->V->I->Z->S->P->Q->D->J->Y->H->L->T,H2V
0,223,8496,M->O->D->N->T->Q->B->U->G->W->Z->A->X->I->F->K->R->H->V->Y->L->S->E->P->J->C,H2V
0,229,8786,Y->N->G->O->I->D->V->M->K->W->L->H->E->F->J->B->T->Q->X->R->A->S->U->P->C->Z,H2V
0,215,7804,W->B->I->A->T->Q->F->J->H->S->N->Y->C->P->E->G->D->Z->R->X->U->K->M->V->L->O,H2V
0,219,10256,T->M->N->D->S->K->O->X->G->P->W->H->R->E->Z->J->L->F->U->V->Y->A->Q->C->I->B,ZgZg
0,189,6688,X->S->I->A->O->U->K->L->P->B->R->V->F->E->H->M->Y->W->Z->N->C->G->T->D->Q->J,ZgZg
0,233,10106,L->D->F->R->T->A->J->W->E->N->K->M->Q->C->X->O->U->V->Y->P->Z->B->S->I->G->H,V2H
